=== Welcome Flow - Table data.txt === (27 emails)
Email 1C | HP:- | TP:- | B:+ 250 FS | G:- | BTN:START MY JOURNEY
Email 1M | HP:- | TP:- | B:- | G:- | BTN:PLAY WITHOUT LIMITS
Email 1S | HP:- | TP:- | B:20% NoRisk FreeBet | G:- | BTN:CLAIM FREEBETS
Email 2C | HP:BANDIT150 | TP:BANDIT150 | B:100% Bonus + 150 FS | G:- | BTN:CLAIM MY BONUS
Email 2M | HP:SAFE10 | TP:SAFE10 | B:10% NoRisk FreeBet | G:- | BTN:TRY MY LUCK
Email 2S | HP:BOOST50 | TP:BOOST50 | B:50% Bonus | G:- | BTN:PLACE MY BET
Email 3C | HP:CREW150 | TP:CREW150 | B:100% Bonus + 150 FS | G:- | BTN:START WITH MY BONUS
Email 3M | HP:- | TP:- | B:- | G:- | BTN:PLAY OR BET NOW
Email 3S | HP:- | TP:- | B:50% Bonus | G:- | BTN:BET NOW
Email 4C | HP:STORM170 | TP:STORM170 | B:120% Bonus + 170 FS | G:- | BTN:CLAIM MY BONUS
Email 4M | HP:LEGACY100, BETSAFE20 | TP:LEGACY100, BETSAFE20 | B:+ 100 FS | G:- | BTN:ACTIVATE MY BONUS
Email 4S | HP:- | TP:- | B:- | G:- | BTN:START BETTING
Email 5C | HP:RIP100CITY | TP:RIP100CITY | B:100% Bonus + 150 FS | G:- | BTN:UNLOCK MY BONUS
Email 5M | HP:- | TP:- | B:- | G:- | BTN:SPIN OR BET NOW
Email 5S | HP:- | TP:- | B:- | G:- | BTN:STEP IN
Email 6C | HP:BANDIT150 | TP:BANDIT150 | B:100% Bonus + 150 FS | G:- | BTN:GET STARTED
Email 6M | HP:- | TP:- | B:- | G:- | BTN:SPIN OR BET NOW
Email 6S | HP:- | TP:- | B:- | G:- | BTN:ACTIVATE MY BONUS
Email 7C | HP:- | TP:- | B:- | G:- | BTN:TRY YOUR LUCK
Email 7M | HP:LEGACY100, BETSAFE20 | TP:LEGACY100, BETSAFE20 | B:+ 100 FS 20% NoRisk FreeBet | G:- | BTN:START MY COMBO
Email 7S | HP:FIREUP60 | TP:FIREUP60 | B:- | G:- | BTN:USE MY CODE
Email 8C | HP:CREW150 | TP:CREW150 | B:100% Bonus + 150 FS | G:- | BTN:TRY YOUR LUCK
Email 8M | HP:- | TP:- | B:- | G:- | BTN:JUMP IN
Email 8S | HP:FIREUP60 | TP:FIREUP60 | B:- | G:- | BTN:CLAIM MY FREEBETS
Email 9C | HP:SWEET180 | TP:SWEET180 | B:+ 180 FS | G:- | BTN:UNLOCK SPINS
Email 9M | HP:LEGACY100, BETSAFE20 | TP:LEGACY100, BETSAFE20 | B:+ 100 FS | G:- | BTN:GET MY BONUSES
Email 9S | HP:FIREUP60 | TP:FIREUP60 | B:- | G:- | BTN:BOOST MY BET

=== SU Retention - Table data.txt === (30 emails)
Email 1C | HP:- | TP:- | B:100% Bonus + 150 FS | G:- | BTN:CLAIM MY BONUS
Email 1M | HP:- | TP:FINTASTIC150, EARNNRF15X | B:100% Bonus + 150 FS 15% NoRisk FreeBet | G:- | BTN:CLAIM MY BONUS
Email 1S | HP:- | TP:EARNNRF15X | B:15% NoRisk FreeBet | G:- | BTN:CLAIM MY BONUS
Email 2C | HP:- | TP:- | B:100% Bonus + 150 FS | G:- | BTN:CLAIM MY BONUS
Email 2M | HP:CASHPLUS4 | TP:CASHPLUS4 | B:100% Bonus + 150 FS | G:- | BTN:CLAIM MY BONUS
Email 2S | HP:CASHPLUS4 | TP:CASHPLUS4 | B:- | G:- | BTN:CLAIM MY BONUS
Email 3C | HP:POWER140 | TP:POWER140 | B:140% Bonus | G:- | BTN:CLAIM MY BONUS
Email 3M | HP:POWER140, EARNNRF15X | TP:POWER140, EARNNRF15X | B:140% Bonus 15% NoRisk FreeBet | G:- | BTN:CLAIM MY BONUS
Email 3S | HP:EARNNRF15X | TP:EARNNRF15X | B:15% NoRisk FreeBet | G:- | BTN:CLAIM MY BONUS
Email 4C | HP:CANDYDROP70 | TP:CANDYDROP70 | B:130% Bonus + 70 FS | G:- | BTN:CLAIM MY BONUS
