=== DEP Retention - Table data.txt ===
Email C1.1 | HP=SURGE170 | TP=SURGE170 | PB=SURGE170 | 💥 170% Bonus: Power Up Your Play Today
Email C2.1 | HP=CREWBOOST150 | TP=CREWBOOST150 | PB=CREWBOOST150 | ⚡ 150% + 70 Free Spins: Don't Wait to Grab Them
Email C4.1 | HP=GUNSLINGER160 | TP=GUNSLINGER160 | PB=GUNSLINGER160 | 💥 160% + 80 Spins: Grab Them and Feel the Rush
Email C5.1 | HP=BOOSTER170 | TP=BOOSTER170 | PB=BOOSTER170 | 🎰 170% Bonus: Instant Boost Activated
Email C7.1 | HP=GUNSLINGER160 | TP=GUNSLINGER160 | PB=GUNSLINGER160 | ⚡ 160% + 80 Free Spins: Activate and Spin
Email C8.1 | HP=OUTLAW180 | TP=OUTLAW180 | PB=OUTLAW180 | 🚀 180% Bonus + 80 Free Spins: Upgrade Your Entry
Email C9.1 | HP=GIANTPANDA100 | TP=GIANTPANDA100 | PB=GIANTPANDA100 | 💎 140% Bonus + 100 Free Spins: Why Wait?
Email C10.1 | HP=GEMHUNT200 | TP=GEMHUNT200 | PB=GEMHUNT200 | ⚡ 200 Free Spins: Ready to Spin?
Email S1.1 | HP=WINSAFE20 | TP=WINSAFE20 | PB=WINSAFE20 | 🥊 20% NoRisk Free Bet: Strike Hard
Email S2.1 | HP=WINSAFE20 | TP=WINSAFE20 | PB=WINSAFE20 | ⚽ 20% NoRisk Free Bet: It's Prime Time
Email S4.1 | HP=SURGE170 | TP=SURGE170 | PB=SURGE170 | ⚽ 170% Boost: Your Play, Your Script
Email S5.1 | HP=WINSAFE20 | TP=WINSAFE20 | PB=WINSAFE20 | 🚀 20% NoRisk Bet: Open, Activate, Win
Email S6.1 | HP=BOOSTER170 | TP=BOOSTER170 | PB=BOOSTER170 | ⚡ 170% Boost: Unleash the Power
Email S7.1 | HP=WINSAFE20 | TP=WINSAFE20 | PB=WINSAFE20 | ⚡ 20% NoRisk Free Bet: Your Advantage
Email S9.1 | HP=ONLYSAFE30 | TP=ONLYSAFE30, ONLYSAFE30 | PB=ONLYSAFE30 | 🎾 30% NoRisk Bet: Smart Viewing
Email S10.1 | HP=ONLYSAFE30 | TP=ONLYSAFE30 | PB=ONLYSAFE30 | 💥 30% NoRisk Free Bet: Grab It and Own the Line
Email C3.1 | HP=- | TP=- | PB=- | 🎡 Escape to the Wins: Last Week's Top Hits
Email C6.1 | HP=- | TP=- | PB=- | 🌟 Join the Elite: This Week's Hall of Fame
Email S3.1 | HP=- | TP=- | PB=- | 🏆 Weekly Winners: They Made the Right Call
Email S8.1 | HP=- | TP=- | PB=- | 🏆 They Won Big on Sports — Now It's Your Turn

=== FTD Retention Flow - Table data.txt ===
Email 1C | HP=ANUBIS10050 | TP=ANUBIS10050 | PB=- | 🐍 The sands are shifting — unlock 100% + 50 FS
