CIO Campaign ID	Status	Message Type	Send Date	Sent	Delivered	Opened	Open Rate	Clicked	Click Rate	CTR (Click-Through Rate)	Converted	Conversion Rate	Bounced	Bounce Rate	Failed (CIO)	Unsubscribed	Total Deposits Amount
194089	Sent	in_app	01.03.2026	1 677	1 677	85	5,07%	68	4,05%	80,00%	21	1,25%	0	0,00%	0	0	0,00
194088	Sent	email	01.03.2026	287	286	88	30,77%	12	4,20%	13,64%	3	1,05%	1	0,35%	0	2	0,00
194099	Sent	in_app	08.03.2026	1 250	1 250	102	8,16%	81	6,48%	79,41%	39	3,12%	0	0,00%	0	0	0,00
194098	Sent	email	08.03.2026	401	393	85	21,63%	9	2,29%	10,59%	9	2,29%	5	2,00%	3	2	0,00
194101	Sent	in_app	09.03.2026	1 255	1 255	56	4,46%	47	3,75%	83,93%	22	1,75%	0	0,00%	0	0	0,00
194100	Sent	email	09.03.2026	394	393	93	23,66%	12	3,05%	12,90%	11	2,80%	1	0,25%	0	0	0,00
194102	Sent	email	10.03.2026	1 338	1 281	327	25,53%	26	2,03%	7,95%	5	0,39%	55	4,26%	2	6	0,00
194103	Sent	in_app	10.03.2026	1 522	1 522	118	7,75%	105	6,90%	88,98%	32	2,10%	0	0,00%	0	0	0,00
194105	Sent	in_app	11.03.2026	3 038	2 744	54	1,97%	45	1,64%	83,33%	19	0,69%	0	9,68%	294	0	0,00
194107	Sent	email	11.03.2026	928	886	194	21,90%	39	4,40%	20,10%	4	0,45%	40	4,53%	2	1	0,00
194106	Sent	in_app	11.03.2026	3 310	3 309	110	3,32%	95	2,87%	86,36%	27	0,82%	0	0,03%	1	0	0,00
194110	Sent	in_app	14.03.2026	2 073	2 073	71	3,42%	68	3,28%	95,77%	20	0,96%	0	0,00%	0	0	0,00
194108	Sent	in_app	14.03.2026	2 073	2 073	59	2,85%	51	2,46%	86,44%	24	1,16%	0	0,00%	0	0	0,00
194109	Sent	email	14.03.2026	418	417	96	23,02%	12	2,88%	12,50%	5	1,20%	0	0,24%	1	0	63,00
194112	Sent	in_app	15.03.2026	4 066	4 066	83	2,04%	70	1,72%	84,34%	19	0,47%	0	0,00%	0	0	0,00
194113	Sent	email	19.03.2026	345	341	60	17,60%	4	1,17%	6,67%	3	0,88%	2	1,16%	2	0	457,00
194114	Sent	in_app	19.03.2026	2 104	2 104	54	2,57%	45	2,14%	83,33%	13	0,62%	0	0,00%	0	0	0,00
194115	Sent	email	20.03.2026	347	347	85	24,50%	10	2,88%	11,76%	3	0,86%	0	0,00%	0	0	248,00
194116	Sent	in_app	20.03.2026	2 092	2 092	64	3,06%	60	2,87%	93,75%	17	0,81%	0	0,00%	0	0	0,00
194117	Sent	email	21.03.2026	348	346	97	28,03%	9	2,60%	9,28%	6	1,73%	1	0,57%	1	0	556,00
194118	Sent	in_app	21.03.2026	2 026	2 026	53	2,62%	49	2,42%	92,45%	20	0,99%	0	0,00%	0	0	0,00
194119	Sent	in_app	22.03.2026	1 996	1 996	61	3,06%	56	2,81%	91,80%	22	1,10%	0	0,00%	0	0	0,00
194120	Sent	email	22.03.2026	344	344	94	27,33%	18	5,23%	19,15%	10	2,91%	0	0,00%	0	0	520,00
194121	Sent	email	25.03.2026	484	480	111	23,13%	8	1,67%	7,21%	3	0,63%	4	0,83%	0	0	72,00
194122	Sent	in_app	25.03.2026	1 492	1 492	62	4,16%	56	3,75%	90,32%	23	1,54%	0	0,00%	0	0	0,00
194123	Sent	email	28.03.2026	1 575	1 546	270	17,46%	24	1,55%	8,89%	7	0,45%	24	1,84%	5	6	805,00
194124	Sent	in_app	28.03.2026	2 066	2 066	64	3,10%	55	2,66%	85,94%	29	1,40%	0	0,00%	0	0	0,00
194126	Sent	in_app	29.03.2026	2 107	2 107	90	4,27%	75	3,56%	83,33%	26	1,23%	0	0,00%	0	0	0,00
194125	Sent	email	30.03.2026	1 946	1 926	382	19,83%	27	1,40%	7,07%	11	0,57%	8	1,03%	12	6	1 239,00
194138	Sent	email	01.04.2026	4 262	2 080	364	17,50%	39	1,88%	10,71%	24	1,15%	2 010	51,20%	172	3	2 583,00
194137	Sent	in_app	01.04.2026	29 506	29 506	127	0,43%	106	0,36%	83,46%	54	0,18%	0	0,00%	0	0	0,00
194129	Sent	email	02.04.2026	101 697	43 705	2 029	4,64%	69	0,16%	3,40%	15	0,03%	50 465	57,02%	7 526	36	3 462,00
194130	Sent	in_app	02.04.2026	29 915	29 915	1	0,00%	1	0,00%	100,00%	0	0,00%	0	0,00%	0	0	0,00
