CELSIUS FULL AUDIT REPORT
================================================================================

Total issues: 943

By category:
  DASH: 716
  FR-LINK: 149
  TERM-HU: 44
  TERM-PL: 34

================================================================================
DETAILED ISSUES
================================================================================
[DASH] DEP Retention | Email 10C | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 10C | Default: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 10C | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 10C | fr-FR: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 10S | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 10S | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 1C | Default: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 1C | fr-FR: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 1S | Default: preheader: contains em-dash "—"
[DASH] DEP Retention | Email 1S | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 1S | fr-FR: preheader: contains em-dash "—"
[DASH] DEP Retention | Email 1S | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 2C | Default: preheader: contains em-dash "—"
[DASH] DEP Retention | Email 2C | Default: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 2C | fr-FR: preheader: contains em-dash "—"
[DASH] DEP Retention | Email 2C | fr-FR: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 2S | Default: preheader: contains em-dash "—"
[DASH] DEP Retention | Email 2S | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 2S | fr-FR: preheader: contains em-dash "—"
[DASH] DEP Retention | Email 2S | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 3C | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 3C | Default: text_2: contains en-dash "–"
[DASH] DEP Retention | Email 3C | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 3C | fr-FR: text_2: contains en-dash "–"
[DASH] DEP Retention | Email 3S | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 3S | Default: text_2: contains en-dash "–"
[DASH] DEP Retention | Email 3S | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 3S | fr-FR: text_2: contains en-dash "–"
[DASH] DEP Retention | Email 4C | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 4C | Default: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 4C | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 4C | fr-FR: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 4S | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 4S | Default: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 4S | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 4S | fr-FR: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 5C | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 5C | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 5S | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 5S | Default: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 5S | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 5S | fr-FR: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 6C | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 6C | Default: text_2: contains en-dash "–"
[DASH] DEP Retention | Email 6C | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 6C | fr-FR: text_2: contains en-dash "–"
[DASH] DEP Retention | Email 6S | Default: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 6S | fr-FR: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 7C | Default: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 7C | fr-FR: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 7S | Default: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 7S | fr-FR: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 8C | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 8C | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 8S | Default: subject: contains em-dash "—"
[DASH] DEP Retention | Email 8S | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 8S | Default: text_2: contains en-dash "–"
[DASH] DEP Retention | Email 8S | fr-FR: subject: contains em-dash "—"
[DASH] DEP Retention | Email 8S | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 8S | fr-FR: text_2: contains en-dash "–"
[DASH] DEP Retention | Email 9C | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 9C | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 9S | Default: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 9S | Default: text_3: contains em-dash "—"
[DASH] DEP Retention | Email 9S | fr-FR: text_2: contains em-dash "—"
[DASH] DEP Retention | Email 9S | fr-FR: text_3: contains em-dash "—"
[DASH] FTD Retention Flow | Email 1C | Default: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 1C | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 1C | fr-FR: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 1C | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 1M | Default: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 1M | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 1M | fr-FR: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 1M | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 1S | Default: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 1S | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 1S | fr-FR: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 1S | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 2C | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 2C | fr-FR: text_2: contains em-dash "—"
